separate by |",separate by |,Could be done programmatically,,,,,Working notes,
original-fr 640-spelling,alternate-spellings,meaning-number,meaning,language-dialect-of-origin,"Modern form or spelling, even if meaning has changed","Part of speech (n., v., adj., adv.)",Reference or further notes,Reference link,Annotation id,"Questions, observations, examples, references",Folio,Entry ID,Entry heading,Synonym in this glossary,Antonym in this glossary,"""See also"" - other entry",Convert to editorial comment (or pull out partial comment) - Y / N,Editors notes,Uncertain
,,2,cane of a ramrod,,,n.(m),,,,,055r,,,,,,,,
Tuyaulx des souflets,,,bellows' pipes,,,n.(m),,,,,,,,,,,,,
Tutie,tuthie,,"tutty, a medicinal stone or dust made of crude zinc oxyde",,,n.(f),Cot,,,,,,,,,,,,x
Tyrant,,,,,,n.(m),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
U,,,,,,,,,,,,,,,,,,,
Umbre,,,"umber, short for terre d'umbre",,,n.(f),TLF,,,,058r,p057v_2,,,,,,,
Uny,unie,1,"uniform (even, smooth)",,,adj.,,,,,10r | 12r,,,,,,,,
,,2,united,,,adj.,,,,,,,,,,,,,
Usblac,,,isinglass (fish glue),dutch,usblat,n.(m),,,,,,,,,,,,,
User,,,to buff enamel with fine sand,,,v.,,,,,121r,,,,,,,,
User de,,,to use,,,v.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
V,,,,,,,,,,,,,,,,,,,
Vache,,,type of crane,,,n.(f),DMF,,,,,,,,,,,,x
Vaisseau,,,"vessel, recipient",,,n.(m),,,,,,,,,,,,,
Vapeur,,,"vapor, refers to a method of blowing into a mold to remove ashes but the DMF describes ""vapeur"" as either dry or humid and the recipe is unclear",,,n.(f),DMF,,,,157v,,,,,,,,
Vase,,,vase ?,,,n.(m),,,,,,,,,,,,,x
Vendangeur,,,vintager,,,n.(m),Cot,,,,,p040r_3,,,,,,,
Venter,,,"to ventilate, to free from chaff by winnowing",,,v.,OED,,,,121r,,,,,,,,
Verd,,,probably “verdigris” as it used in a context of casting “potin”,,,n.(m),,,,,,,,,,,,,
Verdegris,vertdegris,,"verdigris, (copper green, mainly copper acetate)",,vert-de-gris,n.(m),DAF,,,,,,,,,,,,
Verdesin,,,greenish,,,,,,,,156v,,,,,,,,
Verdet,,,"verdet, also known as Spanish green",,,n.(m),,http://cameo.mfa.org/wiki/Verdigris,,,,,,,,,,,
Verd de terre,,,a color (likely a green mineral chalk),,,n.(m),Cot,,,,,,,,,,,,
Verge,,,"rod, or with guns, a ramrod",,,n.(f),Cot,,,,045v | 055r,,,,,,,,
Vergette,,1,small rod,,,,,,,,045v | 097r,,,,,,,,
,,2,"a rod that painters rest their hand upon when they paint, in the sense of maulstick",,,,,,,,058v,,,,,,,,
Vermeilles,,,a technique of enameling on a metal ground,,,n.(f),TLF,,,,,,,,,,,,
Vernis de Flandres,,,Flanders varnish,,,n.(m),"L. Carlyle, The artist’s assistant, 2001",,,,,,,,,,,,
Verrier,,,"glassmaker (in the Parisian context, a profession which produces glass objects, as contrasted with another group of glassworkers, the “vitriers,” who made flat plate glass and stained glass windows and did painting on glass, for stained glass)",,,n.(m),,,,,,,,,,,,,
Verroil,,,lock,,verrou,,,,,,168v,,,,,,,,
Vernis de lin,,,linseed varnish,,,n.(m),,,,,,p004r,,,,,,,
Vert de terre,,,"green verditer, an artificial basic copper carbonate ",,,n.(m),"The Grove Encyclopedia of Materials and Technique in Art, 506",,,,,,,,,,,,
Vert de vessie,vert de nerprun,,"sap-green, a green-yellow pigment",,,,,,,,,,,,,,,,
Vertuelle,vertvelle,,the word is found in 18th-c. documents from lower Poitou (Charente) and refers to a strap hinge,,vertevelle,n.(f),,http://fabrice.bouffanet.free.fr/AfficheActe.php?IDF_ACTE=2565,,,168v,,,,,,,,
Vesie,,,blister,,vessie,n.(f),DMF | Cot,,,,108r,,,,,,,,
Vesse,,,puffball mushroom,,,n.(f),,,,,020v,,,,,,,missing ref,
Vessie,,,"a blister or bubble. According to Cot, vessie can also mean a distilling vessel",,,n.(f),Cot,http://www.micmap.org/dicfro/search/cotgrave/vessie,,,,,,,,,,missing folios,
Viande,,,"foodstuff, not necessarily meat",,,n.(f),,,,,,,,,,,,,
Vibrequin,,,"wimble, A boring tool similar to a gimlet",,,n.(m),Cot | OED,,,,,,,,,,,,
Vif,,1,"lively, of colors",,,adj.,,,,,,,,,,,,,
,,2,"sparkling hot, of iron",,,adj.,,,,,,,,,,,,,
Vilain,,,vile,,,adj.,,,,,,,,,,,,,
Villate,,,small town,,villette,n.(f),Cot,,,,,,,,,,,,
Vinette,vinete,,"sorrel, Rumex acetosa",,,n.(f),Cot,,,,,,,,,Lapathum acutum | Rhubarbe des moynes,,,
Viole,,,gilliflower,,,n.(f),Cot,,,,001v,,,,,,,,
Viron,biron,,"gimlet, possibly an alternative Occitan name for the tool that the author usually calls “guimbelet”",occitan,,n.(m),,,,,168r,,,,,,,,
Vin bruslé,,,mulled wine,,vin brûlé,n.(m),,,,,,,,,,,,,
Visaube,bisaube,,"probably white briony, bryonia alba",occitan,,n.(f),Mémoire de la Société archéologique et historique de la Charente p. 248 | ,https://books.google.fr/books?id=EykTAAAAQAAJ&q=visaube+%22vitis+alba%22&dq=visaube+%22vitis+alba%22&hl=fr&sa=X&ved=0ahUKEwiG8t3JvoDcAhUGCywKHbpSA7kQ6AEINzAD,,,,p015v_6,,,,,,,
"Visée, prendre",,,to take aim,,,phr.,Cot,,,,,,,,,,,,
Visme,,,"a species of willow (often salix viminalis), employed for basket making, wicker, and thatch, among other uses. It is Occitan word for the French “osier,” cultivated along the Garonne. Sometimes called “withy” or “osier” in English.",occitan,vime,n.(m),"Arnauld Landric, Advertissement et manière d'enter asseurément les arbres en toute saison de l'année, la vigne sur son sarment, planter sauvageaux et autres, 1580.",http://www.etymologie-occitane.fr/2011/11/vim/,,,,,,,,,,,
Vitrier,,,"glassworker, the profession that makes plate glass, stained glass windows, and paints on glass.  In the Parisian context, the vitriers apparently engaged in a different range of glassworking than the verriers (who were first recognized in 1583 in the Statutes of Paris)",,,n.(m),,,,,,,,,,verrier,,,
Vitriol,,,,,,n.(m),,,,,,,,,,,,,
Vray,,,true ,,vrai,adj.,,,,,,,,,,,,,
Vuider,,,to hollow,,vider,v.,,,,,,,,,,,,,
Vulgaire,,,"common, on f.100r refers to an artisan who does things in a simpler way or lacks the appropriate tools
",,,adj.,,,,,100r,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Z,,,,,,,,,,,,,,,,,,,
Zedoaire,,,"zedoary, or white turmeric",,,n.(f),DMF,,,,,,,,,,,,
