folio	div_id	heading_tc	heading_tcn	heading_tl	categories	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu	df	wp
020r	p020r_2	Vitrier	Vitrier	Glassworker	glass process							sols;lb		verre de lorraine;verre de plat;paille;vernis;sel;drogues	lien;tables;paniers;panier;plats	paille	lorraine;France;lorrain		Vitrier;verriers;vitriers		chassis			lien;panier	
020v	p020v_1	Blanchir la face	Blanchir la face	For whitening the face	medicine						face			vesse;eau de cisterne;eau blanchie;amydon		vesse						Blanchir la face			
020v	p020v_2	Contre les ventosites colique &c	Contre les ventosités, colique, &c	Against winds, colic, &c	medicine						ventosites;vents de lestomac;estomac			suc exprime ou leau distilee de lescorce dorenge;escorce aussi confite;vin escumant;verre;jus dorange;escume du vin;just		orenge;orange					verre;chandelle	Contre les ventosites colique &c;contre la colique venteuse;pour les vents de lestomac			
020v	p020v_3	Eschervis racine	Eschervis racine	Skirret root	cultivation								en lieu fort humide ou tel quavecq puys rodier ou fontayne on le puysse souvent arroser			Eschervis									
020v	p020v_4	Contre brusleure	Contre brusleure	Against burn	medicine									oignon;verjus;savon noir		oignon						Contre brusleure			
020v	p020v_5	Commun dire	Commun dire	Common saying	household and daily life								Eglise		quintals		rhodés;Alby;mende;thoulouse;france								
020v	p020v_6	Forme de regime	Forme de regime	A form of regimen	medicine						doigt;ventre			oeufs;moyeulx;sucre;vin	doigt							Forme de regime;nourrissant;faict bon ventre			
021r	p021r_1	Canonier	Canonier	Gunner	arms and armor									pouldre	jusques a lescusson				Canonier		lanterne				petites pieces;piece;canon
021r	p021r_2	Pour tirer de nuict dun canon	Pour tirer de nuict d’un canon	For firing a cannon at night	arms and armor;practical optics			continued						eau;plomb;fortes chevilles de fer;bois					canonnier;canonier		flambeaulx;foeus artificiels;mirouers;bocals;cadran;ligne a plomb;regle				canon;pieces
021v	p021r_2				arms and armor;practical optics				continues												regle;reigle				canon
021v	p021v_1	Pour desenclouer un canon	Pour desenclouer un canon	For unspiking a cannon	arms and armor									pouldre;clou a vis					canonier;fondeur		clou;trepan;ancrou				canon;piece
021v	p021v_2	Deffense dune ville	Deffense d’une ville	Defense of a town	arms and armor									cloux de charrette;gros dets dacier;bouts de chesne;verre grossierement pillement pille;matiere des pieces							pillement;pille;molles;crusol	blesseures			mortiers;grenades
022r	p022r_1	Balle de canon poisant 40 lb ayant 12 lignes pied de roy	Balle de canon poisant 40 lb, ayant 12 lignes, pied de roy.	Cannon ball, weighing 40 lb, having 12 lines, king's foot.	arms and armor		CONTAINS FIGURE				pied				lb;lignes;pied de roy										canon
022v	p022v_1	Orgues	Orgues	Orgues	arms and armor		CONTAINS FIGURE			chevaulx				fer;pouldre	pan;lb;pans;jusques a lescusson;trois balles a la cullasse & deux devant;ligne;douziesme partye de la balle du canon;lanternes						chevilles de fer;lanternes			double canon;ligne;basilics	Orgues;harquebus;dorgues;canons;harquebus a croc;double canon;grand canon ordinayre;canon;basilics;pieces
023r	p023r_1	[Mortiers]	[Mortiers]	[On petards]	arms and armor		CONTAINS FIGURE	continued			doigt;doigts			pouldre;cuivre fin;metal;fer;grosse toile;tourmentine;toile;bouquaran;liste de bouquaran;cailloux;cailloux de charrette;toile ciree;chose combustible;amorce	quintals;pans;lb;quintal;pan;doigt;canes;doigts						chevilles de fer;vibrequin;guinbelet;vis;tire fons;baston court;chevilles;baston;barre				Mortier;canon;piece;mortier
023v	p023r_1				arms and armor		CONTAINS FIGURE		continues					pouldre;toile;vinaigre;eau de vye;tourmentine bien bonne;liste de toile large;tourmentine;eau	parties;deux fois que la saulcice;empan						fisselle;cordette;lignette;cordelle;forchettes				mortier
023v	p023v_1	[Mortiers]	[Mortiers]	[On petards]	arms and armor									fer;metal	lb;quintals;moictie										mortiers
024r	p024r_1	Grenades	Grenades	Grenades	arms and armor					cigne	blessures;doigt;main		en lieu bien sec;lieu humide	plus fin metal quon puysse trouver;metal fin;metal gros;cuivre;estain;metal de grosse cloche;rosette;pouldre;verre grossierement pile;verre;meilleure pouldre dharquebus;fer blanc;bonne pouldre;bonne eau de vye;fort vinaigre	quintal;lb;once;grand comme la grosseur dune plume de cigne;travers de doigt;dos de costeau						pile;pilee;mortier	blessures			Grenades;grenades;grenade;harquebus
024v	p024v_1	Pour mener le canon en pays	Pour mener le canon en pays	For bringing a cannon over land	arms and armor			continued			doigts;pied;pieds		pays;villes fortes;biquoques	pierres;terre;pouldres	doigts;demy pied;pieds;la largeur de deulx gabions;caques	abres	france		pionniers;canonier;pionners;canoniers		pales				canon;flambeaulx;pieces;artiglerie;piece
024v	p024v_2	Canons a chambre	Canons à chambre	Fowlers	arms and armor									pouldre										Canons a chambre	Canons a chambre
024v	p024v_3	Lumiere dacier	Lumiere d’acier	A steel touch-hole	arms and armor									acier					canonier						canons
024v	p024v_4	Lumiere a ras	Lumiere à ras	A touch-hole at the level	arms and armor																				canon
025r	p024v_1				arms and armor				continues	chevaulx				pouldre;foing;paille;bois;basane;cailloux;clous de charrette;fer;cuir	pas;quintaulx				canonier;pionniers;canoniers		sacs;cabats;lanterne;refoulouer;tapons de bois;tapons;coings				piece;canon;harquebus
025v	p025v_1	Canonier	Canonier	Gunner	arms and armor						pied			papier;fonte;pouldre	ligne;quintalz;pied				Canonier;fondeurs;canoniers		compas;modelle en papier;costeaulx;foret				canon;piece;grands pieces;petites pieces
026r	p026r_1	Balle de canon	Balle de canon	Cannonball	arms and armor		CONTAINS FIGURE														foret				canon
026r	p026r_2	Mortier	Mortier	Petard	arms and armor		CONTAINS FIGURE						lieu sec	pouldre;sable;liege;cire							piler;pilee				
026v	p026v_1	Balle de colevrine	Balle de colevrine	Culverin ball	arms and armor		CONTAINS FIGURE																		colevrine
027r	p027r_1	Balle de bastarde	Balle de bastarde	Bastarde ball	arms and armor		CONTAINS FIGURE																		bastarde
027r	p027r_2	Balle de moyene	Balle de moyene	Medium ball	arms and armor		CONTAINS FIGURE																		moyene
027r	p027r_3	Piece de campagne	Piece de campagne	Field piece	arms and armor		CONTAINS FIGURE																		Piece de campagne
027v	p027v_1	Faulconeau	Faulconeau	Falconet	arms and armor		CONTAINS FIGURE																		Faulconeau
027v	p027v_2	Faulconeau de 4 quintals autrement passevo lants tire 8 pans	Faulconeau de 4 quintals autrement passevo- lants tire 8 pans	Falconet of 4 quintals, alternatively passe-volant, is 8 pans long	arms and armor		CONTAINS FIGURE								quintals;pan										Faulconeau;passevo lants
027v	p027v_3	3 quintals tire de long 9 pans	3 quintals, tire de long 9 pans	3 quintals, is 9 pans long	arms and armor		CONTAINS FIGURE								quintals;pans										
027v	p027v_4	2 quintals tire de long une cane qui sont 8 pans de monpelier	2 quintals, tire de long une cane, qui sont 8 pans de Monpelier	2 quintals, is one cane long, which is 8 Montpellier pans	arms and armor		CONTAINS FIGURE								quintals;cane;pans de monpelier		monpelier								
027v	p027v_5	1 quintal tire six pans et demy	1 quintal, tire six pans et demy	1 quintal, is six pans and a half	arms and armor		CONTAINS FIGURE								quintal;pans										
027v	p027v_6	1 quintal et demy tire 7 pans et demy	1 quintal et demy tire 7 pans et demy	1 quintal and a half is 7 pans and a half	arms and armor		CONTAINS FIGURE								quintal;pans										
027v	p027v_7	mousquet de 60 lb tire 5 pans et demy ou 6	mousquet de 60 lb tire 5 pans et demy ou 6	60 lb musket, is 5 pans and a half or 6	arms and armor		CONTAINS FIGURE								lb;pans										mousquet
027v	p027v_8	5 quintals tire onze pans et demy	5 quintals tire onze pans et demy	5 quintals is eleven pans and a half	arms and armor		CONTAINS FIGURE								quintals;pans										
028r	p028r_1	La mesure du qualibre des pieces	La mesure du qualibre des pieces	The measure of the caliber of pieces	arms and armor		CONTAINS FIGURE								quintals										pieces;piece
028v	p028v_1	Pintiers	Pintiers	Pewterers	casting						genoils		mine;bonnes villes;champs	estain;plats;souldure;estaim commun;fer;estain dangleterre;plomb;plomb fin;estaim fin;estaim de glace;rosette;pierre porte morte;grais;estaim;charbons;eau;estaing est fin;estaim est bas	lb;quintal		angleterre;allemaigne;bonnes villes		Pintiers;Maistres;minerons;Maistres pintiers jures;aultres qui travaillent aulx champs	sonnante	tour;cassolle dest de fer;cueillere de fer;moules froids;moules;linge;femelle molle				
029r	p029r_1	Stuc pour mouler	Stuc pour mouler	Stucco for molding	casting								a lair;au serain	Stuc;gomme dragant;eau;gelee;mabre;farine de Segle;celle de froment;farine;pain;la paste du pain;huile;colle forte;colle de paste;or;plastre;plombe;croye;ceruse;bol;stuc	jour;fois;jours	Segle;froment	romme				mabre;four;broisse;vaisseau plombe				
029v	p029v_1	Couleur dor sans or sur largent	Couleur d’or sans or sur l’argent	Color of gold without gold on silver	varnish									or;argent;argent de foeille;terre emerita;vernis daspic;sandaraque;or bel		aspic									
029v	p029v_2	Couche dor bruny sur le papier	Couche d’or bruny sur le papier	Layer of burnished gold on paper	painting									or bruny;papier;amydon;eau;or;eau clere damydon;papier simple											
029v	p029v_3	Oster taches	Oster taches	Removing stains	household and daily life									bonne eau de vye											
029v	p029v_4	Assiete dor	Assiete d’or	Seat for gold	painting									or;Terra emerita;safran;colle forte;linge							linge				
029v	p029v_5	Extraction dhuiles	Extraction d’huiles	Extraction of oils	painting									huiles					apothicaires		mortier;pilant			oleagineuse	
029v	p029v_6	Sang de dragon	Sang de dragon	Dragon’s blood	painting		CONTAINS FIGURE			dragon				Sang de dragon;verre;eau de vye;lie de vin;or;bon sang de dragon;esmail rouge cler;rubis;plus obscur sang de dragon;poix;noisettes;eau de vye commune;eau fort;eau;gomme dragant;sang de dragon;or bruny;vernis de tourmentine	suffisante quantite;longuement	poix;noisettes					bouteille de verre;tapon de la bouteille				
030r	p030r_1	Plomb	Plomb	Lead	metal process;practical optics						bras;doigts			Plomb	saulmon;lattes;bras;doigts		allemaigne;lyon;Noremberg								
030r	p030r_2	Pintier	Pintier	Pewterer	casting			continued		cheval		frans		metal;grais;terre ardille blanche;fiente de cheval;bourre;terre;souldure;fer					Pintier;riches		moules;moule;moule de grais;moules de metal;moules de grais;marteler;roue de fer				
030v	p030r_2				casting			continued	continues		petit doigt;main			fer;potee;cuir;bois;estain	petit doigt						marteau;roue;souldouer;raspe;desgrusoue;desgrusouer;corde;barre;esgrusouer;main;fer coupant;plane;potee;cuir cloue sur un lopin de bois;costeau;fer tranchant				
031r	p030r_2				casting				continues					pouldre desmery;potee							marteaulx;pouldre desmery;potee;enclumes				
031r	p031r_1	Nouvelle vigne	Nouvelle vigne	New vine	cultivation					pigeon	poignees			fiente de pigeon	poignees	vigne									
031r	p031r_2	Eaulx coulourees	Eaulx coulourees	Colored waters	metal process						urine distillee			Eaulx coulourees;urine distillee;vinaigre distille;eau de vye;aes ustum pulverise et subtilement broye;taincture;cuivre rouge							filtre				
031r	p031r_3	Vernis durant a leau	Vernis durant à l’eau	Varnish resistant to water	varnish								a la pluye	Vernis;eau;vernis de flandres;tourmentine;huile dicelle ou de mastic;huile de noix blanche			flandres								
031r	p031r_4	Fruict de sucre	Fruict de sucre	Fruit made from sugar	painting;household and daily life						doigt			sucre							pinceau;doigt				
031v	p031v_1	Painctre	Painctre	Painter	painting								humidite	laque;jaulne doeuf;glaire doeuf;rouges de mine;huile					Painctre;scribes						
031v	p031v_2	Broisses	Broisses	Brushes	painting									chaulx					blanchisss de chaulx vive		Broisses				
031v	p031v_3	Paindre au naturel	Paindre au naturel	Painting from nature	painting								temps obscur												
031v	p031v_4	Paindre daprest	Paindre d’aprest	Painting on glass	painting;glass process									azur desmail;escaille;roquaille;noir descaille;verre;papier blanc;papier	patenostres						escaille				
032r	p032r_1	Corps de cuirasse	Corps de cuirasse	The body of the cuirass	arms and armor												milan		maistres		marteau				
032r	p032r_2	Painctre	Painctre	Painter	painting;varnish									destrempe;huile			flamans		Painctre						
032r	p032r_3	Pour coucher lor a destrempe	Pour coucher l’or à destrempe	For layering gold in distemper	painting								a la pluye	or;batture;colle de menusier;eau;miel;dorer;sucre candy;sanguine;cocon;savon	gouttes				scribes;painctres;menusier		pinceau			cocon	
032v	p032v_1	Faiseur de natte	Faiseur de natte	Mat maker	dyeing;household and daily life								paroy des chambres	paille;pailles;taincture;taincture du pastel;pastel;alum;bresil;coupperose	largeur de dix b pailles;leste;lhyver	pastel;bresil	thoulouse		Faiseur de natte;villageois						
032v	p032v_2	Vitrier	Vitrier	Glassworker	glass process									rouge dallemaigne;sanguine;estain de glace;rocaille;litharge;escaille de fer;verre			allemaigne		Vitrier					rouge dallemaigne	
032v	p032v_3	Fondeur	Fondeur	Founder	casting							lb		rosette;laicton;grands metaulx;estain de cloche;estaim fin;plomb;laicton aigry par la calamine;calamine;cuivre rouge;metal qui est matiere de cloche;estain;argent;souldure;eau;fine rosette de per chauldronier;metal;Or;cuivre;leton;fer	quintal		allemaigne		Fondeur;chauldronier;fondeurs					grands metaulx	
033r	p033r_1	Cousteau pour couper le nes ou un doict	Cousteau pour couper le nes ou un doict	Knife for cutting the nose or a finger	tricks and sleight of hand		CONTAINS FIGURE				nes;doict;doigt;cuisse;main;visage;mains			rosette de bresil;jus de cerises noires	dos dun costeau	cerises noires			Maistre gonnin;spectateurs	mal	Cousteau;cousteau bien fourby;cloue;manche;cousteau;clou;costeau				
033r	p033r_2	X Pour rallumer une chandelle estainte entre les mains sans soufler	X Pour rallumer une chandelle estainte entre les mains sans soufler	X For relighting an extinguished candle between your hands without blowing	tricks and sleight of hand		CONTAINS FIGURE				mains;indice;grand doigt;doigts;paulmes			ouzier entre bien sec;osier;fumee;ozier	comme un curedant						chandelle;baston douzier entre bien sec;curedant				
033v	p033v_1	Pour fayre sembler que a quelquun quil aura une piece dargent au front	Pour fayre sembler que à quelqu’un qu’il aura une piece d’argent au front	For making it seem that to someone that he has a piece of silver on his forehead	tricks and sleight of hand						front;mains;teste;main;pouse;salive;oreilles			argent;salive					assistant	froideur	piece dargent;gecton				
