ms-xml/tc/tc_p100v_preTEI.xml,,ms-xml/tcn/tcn_p100v_preTEI.xml,,ms-xml/tl/tl_p100v_preTEI.xml
8 ab,,8 ab,,8 ab
1 add,,1 add,,1 add
4 del,,1 corr,,1 corr
2 div,,5 del,,5 del
1 emph,,2 div,,2 div
3 env,,1 emph,,1 emph
3 exp,,3 env,,3 env
1 figure,,3 exp,,1 figure
2 head,,1 figure,,8 fr
51 lb,,2 head,,2 head
35 m,,51 lb,,33 m
14 ms,,35 m,,14 ms
1 pa,,14 ms,,1 pa
5 pro,,1 pa,,5 pro
1 root,,5 pro,,1 root
14 tl,,1 root,,14 tl
1 tmp,,14 tl,,1 tmp
,,1 tmp,,
ms-xml/tc/tc_p101r_preTEI.xml,,ms-xml/tcn/tcn_p101r_preTEI.xml,,ms-xml/tl/tl_p101r_preTEI.xml
6 ab,,6 ab,,6 ab
3 del,,3 del,,3 del
3 div,,3 div,,1 df
1 emph,,1 emph,,3 div
6 exp,,6 exp,,1 emph
1 figure,,1 figure,,1 figure
2 head,,2 head,,5 fr
53 lb,,53 lb,,2 head
36 m,,36 m,,36 m
7 ms,,7 ms,,7 ms
2 oc,,2 oc,,2 oc
1 root,,1 root,,1 root
23 tl,,23 tl,,23 tl
2 tmp,,2 tmp,,2 tmp
ms-xml/tc/tc_p101v_preTEI.xml,,ms-xml/tcn/tcn_p101v_preTEI.xml,,ms-xml/tl/tl_p101v_preTEI.xml
7 ab,,7 ab,,7 ab
1 add,,1 add,,1 add
2 comment,,1 comment,,3 del
3 del,,3 del,,5 div
5 div,,5 div,,3 fr
5 exp,,5 exp,,4 head
4 head,,4 head,,27 m
24 lb,,24 lb,,1 md
27 m,,27 m,,2 ms
2 ms,,2 ms,,1 oc
1 oc,,1 oc,,1 pa
1 pa,,1 pa,,1 pl
1 pl,,1 pl,,1 root
1 root,,1 root,,6 tl
6 tl,,6 tl,,1 tmp
1 tmp,,1 tmp,,
2 ups,,,,
ms-xml/tc/tc_p102r_preTEI.xml,,ms-xml/tcn/tcn_p102r_preTEI.xml,,ms-xml/tl/tl_p102r_preTEI.xml
4 ab,,4 ab,,4 ab
3 bp,,3 bp,,3 bp
2 comment,,1 comment,,1 comment
1 del,,1 del,,1 del
4 div,,4 div,,4 div
2 exp,,2 exp,,1 figure
1 figure,,1 figure,,3 fr
4 head,,4 head,,4 head
20 lb,,20 lb,,19 m
19 m,,19 m,,9 ms
9 ms,,9 ms,,1 pa
1 pa,,1 pa,,1 pl
1 pl,,1 pl,,1 root
1 root,,1 root,,21 tl
21 tl,,21 tl,,
ms-xml/tc/tc_p102v_preTEI.xml,,ms-xml/tcn/tcn_p102v_preTEI.xml,,ms-xml/tl/tl_p102v_preTEI.xml
3 ab,,3 ab,,3 ab
1 add,,1 add,,1 add
1 al,,1 al,,1 al
3 comment,,1 comment,,3 comment
2 del,,3 corr,,1 corr
3 div,,3 del,,1 del
2 env,,3 div,,3 div
1 figure,,2 env,,2 env
3 head,,1 exp,,1 figure
27 lb,,1 figure,,1 fr
20 m,,3 head,,3 head
1 md,,27 lb,,20 m
7 ms,,20 m,,1 md
2 pa,,1 md,,7 ms
1 pl,,7 ms,,2 pa
1 pn,,2 pa,,1 pl
1 pro,,1 pl,,1 pn
1 root,,1 pn,,1 pro
4 tl,,1 pro,,1 root
4 tmp,,1 root,,5 tl
,,4 tl,,4 tmp
,,4 tmp,,
ms-xml/tc/tc_p103r_preTEI.xml,,ms-xml/tcn/tcn_p103r_preTEI.xml,,ms-xml/tl/tl_p103r_preTEI.xml
2 ab,,2 ab,,2 ab
2 add,,2 add,,1 add
3 al,,3 al,,3 al
3 bp,,3 bp,,6 bp
8 del,,1 corr,,8 del
2 div,,8 del,,2 div
7 exp,,2 div,,4 fr
2 head,,7 exp,,2 head
26 lb,,2 head,,15 m
15 m,,26 lb,,5 md
5 md,,15 m,,7 ms
7 ms,,5 md,,1 oc
1 oc,,7 ms,,2 pa
2 pa,,1 oc,,1 pl
1 pl,,2 pa,,2 pro
2 pro,,1 pl,,1 root
1 root,,2 pro,,3 tl
3 tl,,1 root,,3 tmp
2 tmp,,3 tl,,
,,3 tmp,,
