folio	div_id	heading_tc	heading_tcn	heading_tl	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu
064r	p064r_4	Couleurs a huile dans leau	Couleurs à huile dans l'eau	Oil colors in water									huile;eau;foeille destain;ceruse blanc de plomb;minium;massicot;laque;vermeillon azur									
064r	p064r_5	Double couche	Double couche	Double layer									vert de gris;laque									
064r	p064r_6	Ocre jaulne	Ocre jaulne	Yellow ochre	left-top								Ocre jaulne									
064r	p064r_7	Adoulcir	Adoulcir	Softening	left-middle								papier huile;bois;toile									
064r	p064r_8	Oeil	Oeil	Eye	left-bottom															compas		
064v	p064v_1	Aprentissaige du paintre	Aprentissaige du paintre	Apprenticeship of the painter									oeuf;charbon					paintre		pinceau		
064v	p064v_2			One also presents him with these strokes & lines		CONTAINS FIGURE							œuf									
064v	p064v_3	Adoulcir	Adoulcir	Softening									azur desmail;huile;destrempe							pallete		
064v	p064v_4	Lignes droictes	Lignes droictes	Straight lines																reigle		
064v	p064v_5	Destrempe	Destrempe	Distemper									Destrempe;destrempe;huile									
065r	p065r_1	Umbres	Umbres	Shadows		CONTAINS FIGURE							huile;geiete;ocre jaulne;blanc de plomb;geiette;verd de vessie;bistre;destrempe;bled orbere;terre dombre		bled orbere							
065r	p065r_2	Carnation	Carnation	Flesh color		CONTAINS FIGURE																
065r	p065r_3	Mirouer	Mirouer	Mirror								lumiere du foeu	cristalin					painctre		Mirouer;mirouer de cristalin;chandelle;mirouer		
065r	p065r_4	Couleurs grasses	Couleurs grasses	Greasy colors									savon;huile;papier;destrempe;dorer;or mat;or couleur;ceruse;minium;massicot;ocre;blanc de plomb;eau;verre pile;laque							pinceau		
065v	p065v_1	Couleurs mi vives	Couleurs mi vives	Semi-lively colors									toile;azur;laque									
065v	p065v_2	Paindre grandes figures	Paindre grandes figures	Painting large figures						bout des doigts;main			charbon					artiste		baston		
065v	p065v_3	Glasser	Glasser	Glazing									laque;verdegris;cristallin calcine & broye									
065v	p065v_4	Blanc et noir	Blanc et noir	White and black														aprentif;artiste				
065v	p065v_5	Blanc de plomb	Blanc de plomb	Lead white									Blanc de plomb									
065v	p065v_6	Au naturel	Au naturel	After nature	left-top								papier huile;papier;eau;gomme;savon;cocon					enleumineurs;painctres				
065v	p065v_7	Impression	Impression	Priming layer	left-bottom								huile;verdegris;ceruse;ocre & un peu de jaulne;massicot							pinceaulx a huile		
066r	p066r_1	Doubles couches	Doubles couches	Double layers												flaments						
066r	p066r_2	Umbres	Umbres	Shadows									Aspalte;terre dumbre;laque									
066r	p066r_3	Paindre a destrempe sur bois	Paindre à destrempe sur bois	Painting in distemper on wood									destrempe;bois;glaire doeuf;jaulne;eau;pelures de figuier;huile;vernis		figuier					esponge		
066r	p066r_4	Couleurs a huile qui semboivent	Couleurs à huile qui s’emboivent	Colors in oil that are imbibed									huile;vernis;toile;destrempe;bol;miel;suc dail									
066r	p066r_5	Dorer mouleure de tableaulx dor mat	Dorer mouleure de tableaulx d’or mat	Gilding molding for panels with or mat		CONTAINS FIGURE	continued			doigt		a la pluye	or mat;colle a destrempe;noir de lampe;noir a noircir;colle;minium;massicot;ocre de ru;ocre jaulne;huile gras;huile;or;Or mat;mine;cotton;vernis de flandres;eau de vye;vernis;verdegris;or moulu;eau;dore	jour;heure;jours;once	cotton	flaments;flandres;france				pinceaulx a huile;plume;cotton;dent		
066v	p066r_5					CONTAINS FIGURE		continues				au soleil;a la pluye	dorer;or mat;vernis;huile gras;ceruse;or bruny	heures						pinceaulx		
066v	p066v_1	Garder de croistre les tetins d@ou diminuer les trop grands	Garder de croistre les tetins d@ou diminuer les trop grands	To prevent teats from swelling d or to diminish overly large ones						tetins			grands pains nouvellement tires du four;tourmentine de venise;tourmentine commune;sumach;prunelles de buissons;graine de coings;balaustes;foeilles dolivier;tourmentine;pain chault;eau de ruche de miel;miel;cire	par moictie;fois le jour;jours	sumach;prunelles;coings;balaustes;olivier	venise				four;linges trempes en eau de ruche de miel		
066v	p066v_2	Pour attirer les pigeons	Pour attirer les pigeons	For attracting pigeons					pigeons				huile;chenevi		chenevi					poile		
066v	p066v_3	Contre la meurtrisseure des yeulx	Contre la meurtrisseure des yeulx	Against bruising of the eyes						yeulx			lamines fort tanvres de plomb									
066v	p066v_4	Pinceaulx	Pinceaulx	Pinceaulx			continued		gris;rat	poulce;doigt indice			poil de la queue de gris;quarte;carte;poil;poils de barbe de rat;eau	aultant en une prise comme il en peult tenir en une quarte repliee en canule						Pinceaulx		
067r	p066v_4							continues	rat;menue gris;canard;corbeau	bout des ongles;main			poils;poils de rat;poil de menue gris;filet;tuyau;eau							pinceaulx		
067r	p067r_1	Huile	Huile	Oil									Huile;huile;papier;tourmentine;huile daspic;vernis		aspic							
067r	p067r_2	Sable	Sable	Sand																		
067r	p067r_3	Four a souflets	Four à souflets	Bellows furnace									metal;charbon							Four a souflets;souflets		
067r	p067r_4	Vernis sur papier	Vernis sur papier	Varnish on paper								la premiere pluye	Vernis;papier;glaire doeuf;gomme;huile non d aspic mays dun aultre odorant qui semble huile dolif;huile;aspic;huile dolif;glaire;taffetas		aspic;olif	allemands		painctres;pauvres paysans	odorant			
067v	p067v_1	Limes	Limes	Files									suye;sel;vinaigre;fer doulx;acier;letton;cuivre;laicton					sarruriers;fondeurs		Limes;limes quarrees;limes doulces;limes		
067v	p067v_2	Os de pied de beuf pour sable	Os de pied de beuf pour sable	Bones of the foot of oxen for sand					beuf				Os de pied de beuf pour sable;paille;bourre;sable dos;cuyvre							pinceau		
067v	p067v_3	Huiles dessence	Huiles d'essence	Huiles d'essence									Huiles dessence;huile de noix;tormentine;eau commune;destrempe;dazur desmail;blanc de plomb;vernis de tourmentine;huile	heure	noix					alembic		
068r	p068r_1	Tables fantasques	Tables fantasques	Fanciful tables					poissons				carton simple;papier argente & bruny;corne de lanterne bien claire							bruny		
068r	p068r_2	Planter abres	Planter abres	Planting trees								lieu sec;temps sec;pluyes	terre									
068r	p068r_3	Gect	Gect	Casting			continued						plomb;estain;croye;verre pile;tripoly;linge brusle;celle de champaigne dont usent les painctres;magistra;pouldre de croye;sable de verre commun touteffois le cristallin;verre;sel de salicor;cristallin;sel de tartre;salicor;charbons;eau;potee;metaulx			champaigne		painctres		moule au chassis		
068v	p068r_3						continued	continues		doigts;ongle			metal;fer;mabre commun;porphire;eau;huile;soufre;chandelle de cire;plomb pur;estaing;tripoly subtillement pulverise;linge brusle;mabre;papier;linge;ardoise pilee;estain doulx;argent;paille;estain	doigts;degre de chaleur				painctres;pintiers		doigts;mortier de metal ou de fer;mabre;porphire;ongle;chandelle de cire;papier;crusol;chassis;paille		
069r	p068r_3							continues					plomb;estain pur;estaing;magistra;glaire doeuf	moictie								
069r	p069r_1	Menusier	Menusier	Joiner														Menusier				
069r	p069r_2	Sable	Sable	Sand			continued			mains;pieds;doigts		mer;chemins sablonneulx;soleil;pierreriesrieres;cavernes de rochers;rochers;pierrieres qu grisastres;apres un temps pluvieulx	celuy de la mer;des chemins sablonneulx deseiches par le soleil;arene;terres maigres;pierres de tuf;terres bolvenes;terres grasses & fortes;commune terre;tuf;pierre;areneuse;embouer;ardille;linge;vin;magistra;mabre;letton pur de trebuschets;vitriol calcine	pieds		bolvenes;thoulouse		mouleur		mains;doigts;double tamis;manche de linge;mabre;linge		
069v	p069r_2						continued	continues	bœuf			pres de mon sol	cuivre;plomb;sable de pieds de bœuf brusles deulx foys & fort subtilies;sables maigres;magistra;vin pur;vin bouilly avecq de la racine dorme;sables forts subtils;linge brusle;huile dolif;glaire doeuf battue;sable de verre calcine;laicton;matiere de poilonne;tripoly Moulee;feultre brusle;sel armoniac;tripoly	quart;lb	orme;olif			fondeurs		costeau;carte		
070r	p069r_2						continued	continues	homme;mouton;bœuf				metal;os dhomme;escaille de fer;cuivre;graisse;salpestre;papier;os de pieds de mouton;ceulx de pied de bœuf;huile;suif;verre pile;terre cendree;cendre;laicton;sable de corp rocher;tuf;letton;cire;terre;plomb;crasse	quart						papier;chassis;poile;tamis double		
070v	p069r_2							continues				au soleil	cuivre;letton;ceruse fort broyee;farine;huile;plomb;vieilles lettres des imprimeurs;composition dicelles;estaing;argent vif					imprimeurs		crusol		
071r	p071r_1	Ambre	Ambre	Amber					chevreau;bouc				Ambre;paste;cire;graise de jeune chevreau									
071r	p071r_2	Bois madre	Bois madre	Bois madre									Bois madre;orme;racine dherable;bois;herable		orme;herable							
071r	p071r_3	Vin brusle et sucre	Vin bruslé et sucré	Mulled and sugared wine									Vin;vin;estain;papier enflamme;eau panee;cloux de girofle;sucre;vin douls nouveau	pour scavoir sil est asses chault;suffisante quantite	girofle	anglois				pot destain;papier enflamme;vaisseau		
071r	p071r_4	Chevaulx las	Chevaulx las	Weary horses					Chevaulx;cheval				vin							corne		
071r	p071r_5	Eau de vye	Eau de vye	Eau-de-vie									Eau de vye;vin;eau de vye			Irois						
071v	p071v_1	Vernis	Vernis	Varnish		CONTAINS FIGURE							Vernis;huile daspic;sandarach;mastich pulverises subtillement;huile;gommes;gomme;vernis;camphre;papier	demy lb;℥	aspic					pot;rachault;petit baston refendu et escartele par le bout		
071v	p071v_2	Graisse de mouton	Graisse de mouton	Sheep fat					mouton;moutons							angleterre						
071v	p071v_3	Araigne	Araigné	Spider					Araigne;iraignee				bois;boys			hibernie;angleterre		riches		bois		
071v	p071v_4	Sable	Sable	Sand									moulee;cuivre;celle des cousteliers;vase;pierres de filieres;plomb;ardoise			Thoulouse;Carcassonne		cousteliers;ceulx qui aguisent				
072r	p072r_1	Lettres dimprimeur	Lettres d'imprimeur	Printers’ letters					cheval				plomb;clous;testes de cloux;fers de cheval;antimoine					imprimeur				
072r	p072r_2	Gecter en cuivre	Gecter en cuivre	Casting in copper									cuivre;mabre;huiler;vin bouilly avecq racine dorme;letton;matiere de trebuschets;tuile;fer;charbons;molee des gros ciseaulx & grands cousteaulx;persicaire;plomb;sel		orme;persicaire					chassis;planche;mabre;moule;fourneau;souflets;tuile;molletes;fer crochu;grattebroisse de letton		
072v	p072v_1	Gect	Gect	Casting					seiche	doigts;doigt			plomb;estaim;paille;souldure;estain;estain de glace;estain doulx;estaimg;argent vif;plombs;cire;plomb le plus noir se disent aulcuns est le meilleur & le plus doulx & qui coule mieulx;os de seiche;os;moelle;moelle de los;coquille;limaille de fer;espingle	partye;lb		Allemands		imprimeurs	Tu cognoistras sa bonte en le frottant avecq le doigt lequel il te rendra incontinent fort noir	plat destain;doigts;manche de chemise;chassis;doigt;table bien unie;chevilles;os de seiche;marteau;gratte broisse;moules		
073r	p073r_1	@ Pour faire vernys pers	Pour faire vernys pers	For making blue varnish						doigts			vernys pers;pers de fleurs de fleuree ou de Flandres;chault vifve;eau;chault;pers;boys	doigts;Jour		Flandres						
073r	p073r_2	Pour Couleur dorange	Pour couleur d’orange	For orange color									eau;chault;terroy merita;boys									
073r	p073r_3	Pour desgresser os ou corne	Pour desgresser os ou corne	For ridding bone or horn of fattiness									os;corne;chault vive;eau;Cendre de serment;eaue des orfevres;vert de gris			serment		orfevres		casse;pot;pot de leaue des orfevres		
073r	p073r_4	Pour faire boys gris	Pour faire boys gris	For making gray wood									boys;alung;eau de Riviere;son;limailhe de Fer;souffre;verd de Gris;moullee;boys derable;eaue dalung;eaue despuis;Grais		erable							
073r	p073r_5	Pour faire bronze a couleur dor	Pour faire bronze à couleur d’or	For making bronze in gold color			continued						bronze;sel armoniac;fer;soufre	once						mortier de fer		
073v	p073r_5							continues					sel armoniac;estaing doulz;argent vif;estaing	once								
073v	p073v_1	Pour le cCoucher	Pour le c coucher	For c coating it									colle de partenay @ou parchemin;blanc dung oeuf;saffran;vinaigre;laict de figuier;bronze		figuier	partenay						
073v	p073v_2	Verny	Verny	Varnish									Verny;uille daspic;sandrax;drogues;boys	onces;once	aspic					pot;fiole		
073v	p073v_3	Aultre recepte pour faire verny	Aultre recepte pour faire verny	Another recipe for making varnish									verny;tormentine de vernise venise;huille de perolle petrolle;sandrax;huille daspic	once;quart de once	aspic	venise						
073v	p073v_4	Couleur de Cuyvre bruny	Couleur de cuyvre bruny	Color of burnished copper									sel armoniac;broullaminy;limailhe de cuyvre;souffre;vinaigre;charbon	once;demy sestier;journee						petict fourneau de carreaulx;pot;fourneau		
074r	p074r_1	Pour bronzer blanc	Pour bronzer blanc	For bronzing white									bronzer;estaing de Glace;eaue de gomme;mabre							mortier;mabre		
074r	p074r_2	Pour faire vernilhon	Pour faire vernilhon	For making vermilion									vernilhon;souffre;mercure;plombe;bon vernilhon	livres;par lespace de vingt quatre heures						pot;pot plombe		
074r	p074r_3	Pour faire verny	Pour faire verny	For making varnish			continued						verny;huille de lin;terre;croute de pin;ognions;charbon;colle farine;sandrax bien pilles;mastic & arrabe ic deux onces de chascun qui soit bien broye tous deux;mastic;arrabe ic;alung daraucq de Roc;arabic	livre;heures;demy once;onces	lin;ognions					pot de terre;cuilliere		
074v	p074r_3							continues					toille;huille							toille qui soit asses serree		
074v	p074v_1	Pour faire vernys Rouge	Pour faire vernys rouge	For making red varnish									vernys Rouge;vermilhon;eaue de gaulme bien clair									
074v	p074v_2	Pour faire vernys Jaulne	Pour faire vernys jaulne	For making yellow varnish						main;paulme			vernys Jaulne;Gaulme arrabic;eaue;saffran bien baptu;Gaulme;verny					apoticquaire		paulme		
074v	p074v_3	Recepte pour Gaulme blanche	Recepte pour gaulme blanche	Recipe for white gum									Gaulme;Sire blanche;seruze;poix fine;boys							pot;palette de boys		
074v	p074v_4	Goume verte	Goume verte	Green gum									Goume;cire verte;vert de Gris									
075r	p075r_1	Goume Rouge	Goume rouge	Red gum									Goume;sire Rouge;Vernilhon;poix resins resine									
075r	p075r_2	Bronze de Cuyvre	Bronze de cuyvre	Bronze of copper									Bronze;Cuyvre;verdet;colle claire;boys;limaille despingle;marbre;eau;cuyvre							marbre		
075r	p075r_3	Bronze Comme Estaing	Bronze comme estaing	Bronze like tin									Bronze;Estaing;estaing de Glasse;argent vif;estaing de Glace;vit f aiant argent;colle;estaing;marbre;eaue claire;boys	onces						pot;marbre		
075r	p075r_4	Pour faire Eaue fort	Pour faire eaue fort	For making aquafortis									Eaue fort;vinaigre;verd de gris;copperouse;solle;voyrre	demy sestier;once						fiolle de voyrre		
075r	p075r_5	Or Moulu	Or moulu	Or moulu									Or Moulu;fin or;marbre;eaue fort;selpestre;sel armonial							marbre;coquille		
075v	p075v_1	Pour faire du boys gris	Pour faire du boys gris	For making gray wood									boys;limailhe de fer;dalung de glace;couperose verte;vert de gris;poix;eaue de courroieur;eaue de pluye	demy sestier;deniers;carte				courroieur				
075v	p075v_2	Pour dorer sur le boys	Pour dorer sur le boys	For gilding on wood					perdris				dorer;boys;colle bien claire;ore Jaulne;boys de figier;or;coutoie n;blanc dung œuf;plume de perdris;doré		figier;coutoie n;figuier					couteau;coutoie n;choffrette		
075v	p075v_3	Pour dorer dor Moleu	Pour dorer d’or moleu	For gilding with or moulu					loup				dorer;or Moleu;or;eaue de Gome	coquille						pinsseau;dant de loup		
075v	p075v_4	Recepte pour Mectre tous boys en coulleur	Recepte pour mectre tous boys en coulleur	Recipe for putting all woods in color			continued						boys;huille dolive;Carne;huille;souffre vif	Jours;heure	olive							
